Shroud|an object that conceals something or someone|The celebrity covers her head and face with a shroud to conceal her identity when she goes out in public.|
Shrouded|covered to the point of being hidden|The military tank was shrouded by a camouflage tarp.|
Shrug|to show indifference or disregard, sometimes by raising and contracting the shoulders|The man’s tendency to shrug off his flu symptoms until it was too late landed him in the hospital over the weekend.|
Shrunk|to cause something to shrink or reduce|Placing the water temperature on hot shrunk my extra-large sweater down to toddler size.|
Shtick|a comedy routine or act|Part of the comedy show, the mime performed his shtick for a packed house.|
Shudder|to tremble suddenly|A cool breeze moved through the garden, causing the princess’s body to shudder from the chill.|
Shuffle|to mix-up, rearrange, or jumble objects|Since the dealer failed to shuffle the cards correctly, I got the same hand back to back.|
Shun|to avoid, especially persistently|Mom’s doctor told her that if she wants to live to see her grandchildren she must shun fatty foods.|
Shunt|to push or shove something|It’s unfortunate that our society tends to shunt older workers to retirement before they are ready.|
Shutter|a device that opens and closes to expose the film in a camera|Because the shutter closed too soon, overexposure occurred and the picture was ruined.|
Shuttle|a form of transportation that travels between two places on a regular basis|Waiting for the next shuttle to take them home, the coworkers made casual conversation.|
Shy|timid or bashful|Several shy maidens giggled as they coyly peered at the prince from behind their decorative fans.|
Shyly|doing something in a timid or bashful way|Unable to get over her bashfulness, the wallflower shyly watched the others dance.|
Shyster|a person, generally a lawyer, that uses fraudulent or questionable methods to do business|This lawyer is what we call a shyster, relying on underhanded and sometimes even illegal techniques to get results.|
Sibilant|associated with a hissing noise|The snake’s sibilant hiss caused the frightened puppy to flee.|
Sibling|one’s brother or sister|Even when you are close in age, sharing a room with a sibling can be difficult.|
Sibylline|having a secret meaning|It took several historians to understand the sibylline meaning of the ancient scroll.|
Sick|affected by a physical or mental illness|My daughter usually tries to fake a cold to get out of school on Mondays, but this time she actually was sick, and I let her stay home.|
Sickle|describes something with a curved or crescent-like shape|The patient’s sickle shaped cells were curved, not round like a normal person’s cells.|
Sickly|having weak or unhealthy feelings|With dead leaves and droopy flowers, the sickly plant required sunlight, water and rich soil to become healthy again.|
Sickness|illness or ailment|In medieval times, the people thought that sickness came from unholy behavior instead of unhealthy bacteria.|
Side-eye|a sidelong glance that shows disapproval or disdain|Anna gave her husband a disapproving side-eye when he mentioned spending their savings on a new boat.|
Sidekick|a person who is an assistant or close associate to another person and helps them in some way|My younger brother thinks he is my sidekick and follows me around the house.|
Sidelines|situation where one is witnessing an activity and not joining in|My sister and I sat on the sidelines of our parents’ arguments because we wanted to know what they were saying without giving our opinions.|
Sidereal|relating to distant stars, planets, or constellations|The scientist’s calculations were based on sidereal time, which was related to the earth’s rotation around fixed planets.|
Sidestep|to avoid or dodge something|Jumping out of the road quickly, the pedestrian was able to sidestep being hit by the speeding vehicle.|
Sidetrack|to cause someone to be distracted from an important issue|My phone tends to sidetrack me when I am trying to work, so I put it away to keep myself from being distracted.|
