Dispensation|immunity from a law or rule |In our church, women who have abortions are not given a dispensation of forgiveness.|
Dispense|distribute, or give out|Every pharmacist must accurately dispense the medicine into the proper containers in order for no one to get sick.|
Disperse|to spread out|As soon as the last bell rings, students disperse out of the building and head to their buses.|
Dispirited|having lost all hope; disheartened|After losing the final game of the season, the once excited team was now sad and dispirited.|
Displace|to forcibly move people from their homeland, or to move someone or something|The destructive fire would displace many people from their homes.|
Display|to actively exhibit something much like in a museum|Museums display artwork from hundreds of years ago.|
Displease|to dissatisfy or annoy someone|The new anti-racism laws are sure to displease all the racists in this country.|
Displeasure|feeling of being displeased or annoyed with someone or something|The irate couple got up to leave in disgust, and the woman barked her displeasure at the waiter.|
Disposable|easily expendable and then throw away|Because you can't bring shaving equipment on a plane, many travelers buy disposable razors for the duration of their trip.|
Dispose|to toss out or give to another individual|I need to dispose of the broken blender and buy a new one.|
Disposition|the way that someone normally thinks and behaves |Even though the old man appeared grumpy, he really had a pleasant disposition.|
Dispossess|to deprive someone of the possession of land, especially by evicting them|Once the real estate investor neglected to pay his property taxes, the government took action to dispossess his land.|
Disproportionate|not in proportion; unfair in size|With a disproportionate number of students and staff, the small school scrambled to fit everyone in a classroom.|
Disprove|to prove that something is not true|Many brilliant scientists in the past had to work to disprove the widely held notions of the public in their lifetimes, such as the shape of the world or what the universe revolves around.|
Disputation|a quarrel or disagreement|In order to avoid a disputation about money, Amy handed her credit card to her husband.|
Disputatious|taking pleasure in arguments|Because Ashley is a disputatious person, she is a huge asset to the debate team.|
Dispute|to contest or argue about something|When I saw unauthorized charges on my credit card, I called the bank to dispute the amounts.|
Disqualify|to make someone ineligible for something (such as a prize) because of an offense|When they found the runner had used illegal drugs, the committee members decided to disqualify him from the race.|
Disquiet|a feeling of worry and anxiety|The novel is a tense thriller that will disquiet the reader.|
Disquietude|a condition of worry or concern|The little boy listened in disquietude as his parents argued in the kitchen.|
Disquisition|a long or elaborate essay or discussion on a particular subject|The history student's disquisition was a forty page long manifesto about the benefits of communism.|
Disregard|to ignore or dismiss something|If you disregard the red light at an intersection and keep driving you are not only breaking the law but also endangering your life.|
Disreputable|not worthy of respect|The mob associates decided to kill the disreputable informant.|
Disrepute|the status of being untrustworthy or dishonorable|Once the college fell into disrepute because of the hazing scandal, its number of applicants declined.|
Disrespect|to show a lack of respect to someone or something|This bill shows the government's disrespect for basic human rights and established legal principles.|
Disrupt|to interrupt something by causing a problem or disturbance|The jealous younger sibling attempted to disrupt his brother’s birthday party by throwing a tantrum to place the attention on him instead.|
Dissatisfaction|a state or feeling in which one is not happy or content|The public’s dissatisfaction continued to governor sunk the state’s economy.|
Dissatisfied|not happy or content|Dissatisfied with the restaurant service, the man asked the terrible waitress if he could speak to her manager.|
Dissect|to cut open and examine|Cutting into it with a knife, the biologist began to dissect the animal to look for disease.|
Dissemble|to disguise or conceal behind a false appearance|Her plan was to dissemble her intentions from her husband so she could successfully plan him a surprise party.|
Disseminate|to scatter or spread widely|With encyclopedias in every classroom, we will disseminate a wealth of information to all students.|
Dissension|a disagreement that leads to arguing and discord|Dissension was growing between the two political parties as more scandals came out through the media.|
Dissent|to differ in opinion|More than likely, my father will dissent with the idea I am old enough to set my own curfew.|
Dissentient|opposing the majority|Dissentient voices opposed all of those in congress that supported the bill.|
Disservice|an ill turn or injury|She has done a great disservice to her cause by suggesting that violence is justifiable.|
Dissident|a person who opposes the current political structure, group or laws; one who disagrees|Charlie’s family members were devout Catholics, while he was considered dissident for not identifying with the religion.|
Dissimilar|not alike; having nothing in common|Although they have the same parents, the brother and sister are dissimilar in look and personality.|
Dissimulation|the action of covering the truth|Many anti-government groups believe the president is always conducting acts of dissimulation to deceive the public.|
Dissipate|to drive away|According to meteorologists, the storm will dissipate after a few hours and make way for the sunshine.|
Dissociate|to distance or detach someone or something from a group|When Beverly’s friends started to get into trouble with drugs and alcohol, she decided to dissociate from them and find nicer friends.|
Dissolute|given to immoral behavior |My cousin is a dissolute woman who likes to irritate her religious parents by performing immoral deeds.|
Dissolve|to liquefy; melt into a fluid|Sugar will dissolve quickly in a hot cup of coffee.|
Dissonance|a lack of agreement; generally between what one believes and how one acts|His cruel abuse showed a dissonance with his loving words.|
Dissuade|to convince an individual to not try or complete something|Jealous people will always try to dissuade you from trying to be successful.|
Distal|something that is distant from something else|The paramedics were concerned with their patient’s distal pulse because there was a lot of time between beats.|
Distance|an amount of physical space between two things|The distance between Earth and the Moon is considerable for us to consider, even though it is almost nothing compared to the true vastness of space.|
Distant|far enough away to be out of immediate reach|I wanted to change the channel, but the remote was just distant enough that I would have to get up to grab it, and I didn’t want to move.|
Distant|far away from each other physically or in time|The most distant celestial body from the Sun in our solar system is Pluto, a dwarf planet at the farthest reaches of our immediate space.|
Distaste|dislike or mild disdain for something|I have a mild distaste for anything bitter, but I would certainly eat those foods if I were hungry enough.|
Distasteful|unpleasant or offensive; causing dislike|Donning a distasteful outfit, the protester’s offensive garb made many people upset.|
Distemper|an infectious viral disease found in animals, especially dogs|The puppy was vaccinated for distemper and several other viral respiratory diseases.|
Distend|to become larger from internal pressure|The hernia caused his stomach to distend from organ misplacement.|
Distill|to extract out the essential meaning or most important pieces of something|Though he didn’t know some of the words, the reader was able to distill most of what the author was saying.|
Distinction|a clear difference or contrast between similar people or things|Although they are identical twins, there is a noticeable distinction between the colors of their hair.|
Distinctive|specifying as unique, special or characteristic|The only distinctive quality of this job candidate was his ability to speak to clients calmly because his clerical skills were a mess.|
Distinctness|being easily distinguishable from other things due to particular attributes|People have distinctness about them, possessing traits in both appearance and personality that set them apart from one another.|
Distinguishable|being able to clearly see or hear something from within a whole and recognize it as different|The fuzzy words on the page were only distinguishable after Mike put on his glasses.|
Distinguished|describing something that is noteworthy or otherwise significant for some reason|The General is a distinguished officer, having performed admirably in two wars and being directly responsible for victory in three major battles.|
Distort|to bring something out of shape or to misrepresent|My friend had an app on her phone that would distort our faces in amusing ways.|
Distortion|an irregularity or abnormality in the shape or perception of something|After getting hit by a flashbang, the victim suffers severe distortion in their ability to both hear and see.|
Distract|to misdirect attention from one focus to another usually as an act of deception|During the Trojan War, a great wooden horse was sent to distract the soldiers and allow the enemy Greeks to enter Troy and win the war.|
Distraught|so upset that one cannot behave normally|When my father died, I was so distraught I dropped out of school.|
Distress|physical or mental anguish|The anxiety attack left me in a bit of distress.|
Distribute|to divide into portions and dispense|Churches often distribute pamphlets to invite people to attend their Sunday service.|
Distribution|the provision of goods and materials to multiple recipients|Multiple people won the contest held by the state, but they would have to wait for the prize distribution to take place a month later.|
Distributive|related to the act of giving or spreading out|The distributive center is in charge of getting all of the products made at the factory out and into the stores.|
District|an area of a country or a city|Moving to a new district, it was difficult for the student to adjust to his new school.|
Distrust|doubt in the ability to trust someone or something|I have always had a strong distrust for politicians, as they never seem to follow through on the promises they make to the public.|
Disturb|to bother or concern someone|The sight of all the violence that was taking place during the riots served to disturb my mother, who was always a bit on the naïve side.|
Ditch|to get rid of something|Michael was willing to ditch his baseball cap and jeans for a wedding day suit.|
Dither|to hesitate or be indecisive|Terry tends to dither when someone asks him where to have lunch, as he is never able to decide on a restaurant.|
Ditto|that which was stated before, the aforesaid, the above, the same, likewise|When I took notes for class, I used ditto marks to show repetition.|
Ditto|a word or mark used to agree with something said or to avoid repeating something|“Ditto,” said Alex when agreeing with his friend that strawberry pie is the best kind.|
Diurnal|energetic during the daylight hours|Because bats are not active during the day, they are not diurnal creatures.|
Diverge|to separate into different directions|The interstate began to diverge into two exit ramps.|
Divergence|the process or state of separating|The married couple is currently in a state of divergence, going through the divorce process so they can legally separate.|
Divergent|different from each other or growing further apart|There were also divergent attitudes towards industrialization in China and Japan.|
Diverse|composed of different people or features|The restaurant has a diverse menu that includes entrees from all over the world.|
Diversify|to make something less uniform by adding different things to it|Many producers attempt to diversify their films by casting actors of many different nationalities in them.|
Diversion|a distraction or turning from another activity|Soldiers often use a diversion tactic, like a small attack away from their target, to sneak up on the enemy.|
Diversity|an assortment of different types|As a teacher, Bridgett has to deal with a large amount of diversity in her inner city classroom.|
Divert|to shift from one thing or another or to distract someone|I decided to divert the conversation away from the topic of politics.|
Divest|to deprive of or strip away|Divest yourself from the company of evil men or you will learn to mimic their ways.|
Divide|to split or separate something into two or more parts or groups|I am in love with books and have to divide my day into house chores, time to write and time to read.|
Dowdy|unstylish, especially in reference to apparel|The clothes I was wearing were apparently too dowdy for the popular kids to acknowledge them, but I really didn’t care for their sense of style.|
Downcast|feeling sad, depressed, or despondent|My daughter was extremely downcast when she couldn’t get ice cream, but I promised her we would go to the park later.|
Downfall|a loss of power or prestige|The downfall of the Soviet Union was likely due to the unhappiness that they brewed in the hearts of their own people.|
Downgrade|to reduce in rank or importance|After many years alone, the aging single was forced to downgrade her expectations.|
Downgrading|reducing something to a lower rank, level, or grade|Since he no longer needs the program for school, the student is thinking of downgrading his account to the free version.|
Downhill|toward the bottom of something|The ball rolled downhill from the top of the slope to the bottom of the mound.|
Downpour|sudden, heavy rainfall|Because her windshield wipers were broken, Beth had to pull over until the downpour stopped.|
Downright|complete or total|There has been so much downright terrible things happening in the world lately that some people are afraid to even leave their homes.|
Downsize|to make something smaller or lessen|When we downsize into a smaller house this fall, we will have to get rid of a lot of our extra furniture.|
Downtrodden|oppressed; exploited.|Hanging his head low, the downtrodden slave felt as if his life was without meaning.|
Downturn|a decline in business or the economy|A downturn in the real estate market made it really difficult for realtors to sell houses.|
Dowry|property or payment given at time of marriage|Part of her dowry included land that her father would give her husband.|
Doxology|a Christian hymn or verse|The doxology at the end of the Catholic prayer was chanted by the patrons.|
Doyen|a man who serves as an expert as the senior member of a group|The doyen of the group joined the Boy Scouts of America before any of the other members.|
Doze|to nap lightly|The wife always joked that her deep-sleeping husband could doze in the middle of a hurricane.|
Dozen|a quantity of twelve|A dozen donuts were served to the twelve breakfast guests.|
Drab|dull; lacking brightness or enthusiasm|Somber and drab, the gloomy hospital room made the depressed patient even sadder.|
Draconian|harsh and cruel|Giving someone a life sentence for stealing a loaf of bread is a draconian consequence.|
Draft|a first version of something written or drawn|Before I submit my final article, I need to edit my draft.|
Drag|to pull someone or something often roughly and through or across an area|The soccer players drag the heavy duffle bags into the locker room.|
Dragnet|a police set-up put in place to catch a criminal|Concealing his badge, the officer prepared the dragnet for the citywide drug sting.|
Dragoon|a British soldier mounted on horseback|Training of the British dragoon included lessons in horse-riding as well as fighting while mounted.|
Drastic|extreme or severe|She was so brokenhearted after the breakup that she considered taking drastic measures to win him back.|
Drat|an expression used when one wants to express irritation or annoyance|“Oh, drat!” Harriet exclaimed when she realized she had left her wallet at home.|
Draught|a current of air|Since Billy didn’t shut the glass door completely, his mom could feel a small draught.|
Drawback|a disadvantage or downside|The cruise to the Bahamas offered many perks, but the overall price was still a drawback.|
Drawl|a type of accent branded by slow and drawn out speaking that is usually related to the southern United States|The old banjo player’s songs seemed to go on and on as he picked and sang along in a Southern drawl.|
Drawn|showing wear from being overworked or not cared for|The student’s once healthy face looked drawn after several late-night study sessions.|
Dread|a feeling of intense fear and anxiety|The extremely shy speaker was filled with dread as she stepped in front of the microphone.|
Dreadful|extremely terrible or awful|The dreadful heat beat down on the farmhands, making their day’s work even more grueling.|
Dreamt|imagined or fantasized about something or someone|The love-sick man dreamt about the day he would finally marry his true love.|
Dreary|cheerless, bleak, and dull|The rainy weather was putting me in a dreary mood.|
Dreck|flimsy or cheaply made|Bargain hunters are always looking for products that are low in price but not dreck or of low quality.|
Dredge|a huge, power shovel used to remove dirt and other debris from a channel or riverbed|The workers used the dredge to remove sediment from the shallow sea.|
Dregs|the least wanted parts or persons|People who think homeless people are the dregs of society do not realize they could be down-and-out too.|
Drench|to cover abundantly|Everyone gasped as my little sister used ketchup to drench every piece of food on her plate.|
Dungeon|an underground prison, usually of a castle|The king’s dank and chilly dungeon kept the most notorious offenders in the city.|
Dunnage|a person's belongings, especially those brought on board ship|Loading the dunnage on the ship was a tough job since the passenger had packed for a three month stay.|
Duo|a pair or couple, usually associated with one another|Minnie and Mickey Mouse are the most famous duo in Disney history.|
Dupe|to deliberately mislead someone or the person who is easily used or tricked|My brother is a schemer who is always trying to dupe people out of their money.|
Duplex|a house divided into two separate apartments|Both sides of the duplex are currently being rented.|
Duplicate|an exact copy of an original|The man’s duplicate license replaced the original that he lost.|
Duplicity|dishonest behavior that is intended to trick someone|Most politicians use duplicity to deceive voters just long enough to get their votes.|
Durable|able to stay in good condition, withstand wear and damage; strong|The plate was made of durable plastic and didn’t break when accidentally dropped.|
Duration|the time period in which something occurs|The total duration of the film is 180 minutes.|
Duress|force or threats meant to make someone do something|The judge overturned the case because the defendant’s attorney proved that his client’s confession had been given under duress.|
Dusk|the darkest part of the evening|The boy’s mother warned him that he must be back inside before the streetlights came on at dusk.|
Dutiful|responsible; devoted|A dutiful daughter will care for her parents in times of difficulty.|
Dutifully|performing responsibilities as expected|The Navy Seaman dutifully painted the ship gray as required by the military.|
Duty|a responsibility or obligation|As an American, it is your duty to vote on Election Day.|
Dwarf|a mythical creature that is short in stature|Without a step stool, it was difficult for the dwarf to get anything done around the cabin.|
Dwell|to live in a specific place|The migrant worker did not intend to dwell in the rural town for very long.|
